bam_accession	biosample	experiment_accession
ENCFF293BRN	gastroesophagealsphincterfemaleadult51years	ENCSR260ZIV
ENCFF656OYT	breastepitheliummaleadult54years	ENCSR955JSO
ENCFF168OTV	tibialarterymaleadult54years	ENCSR630REB
ENCFF733PNQ	omentalfatpadfemaleadult51years	ENCSR788TRR
ENCFF135RTS	bodyofpancreasfemaleadult51years	ENCSR773USD
ENCFF159RKV	subcutaneousadiposetissuefemaleadult53years	ENCSR540BML
ENCFF049DWX	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor3days	ENCSR460DKJ
ENCFF429JLL	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor3days	ENCSR460DKJ
ENCFF111ULL	foreskinkeratinocytemalenewborn24days	ENCSR356KRQ
ENCFF654ZNI	foreskinkeratinocytemalenewborn24days	ENCSR356KRQ
ENCFF858PLS	gastrocnemiusmedialismaleadult37years	ENCSR258JCL
ENCFF984OPE	thoracicaortamaleadult54years	ENCSR344ZTM
ENCFF678AIF	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor15days	ENCSR572UDP
ENCFF885IPV	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor15days	ENCSR572UDP
ENCFF799HAR	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor05days	ENCSR290YMN
ENCFF907NVD	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor05days	ENCSR290YMN
ENCFF927PPE	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor1day	ENCSR247PVM
ENCFF629VEK	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor1day	ENCSR247PVM
ENCFF787DUW	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor4days	ENCSR923WGJ
ENCFF912HGK	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor4days	ENCSR923WGJ
ENCFF479UTZ	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor25days	ENCSR245LNF
ENCFF205KDV	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor25days	ENCSR245LNF
ENCFF217OUE	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor35days	ENCSR521RAL
ENCFF832AIE	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor35days	ENCSR521RAL
ENCFF588PIS	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor55days	ENCSR798IJQ
ENCFF374VWZ	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor55days	ENCSR798IJQ
ENCFF900AMT	coronaryarteryfemaleadult51years	ENCSR584AXZ
ENCFF478ARL	gastrocnemiusmedialismaleadult54years	ENCSR308HPZ
ENCFF105ASY	thyroidglandfemaleadult53years	ENCSR914DTI
ENCFF675QOY	stomachmaleadult54years	ENCSR851SBY
ENCFF294ZCT	spleenfemaleadult51years	ENCSR078EBD
ENCFF436NOT	adrenalglandmaleadult54years	ENCSR113MBR
ENCFF310VHO	heartleftventriclefemaleadult53years	ENCSR851EBF
ENCFF736KFN	sigmoidcolonfemaleadult51years	ENCSR355SGJ
ENCFF778VJL	sigmoidcolonmaleadult54years	ENCSR086OGH
ENCFF628MCV	rightlobeofliverfemaleadult53years	ENCSR373TDL
ENCFF048IOT	testismaleadult37years	ENCSR210NKB
ENCFF912PKL	transversecolonfemaleadult51years	ENCSR386HAZ
ENCFF482CAN	breastepitheliumfemaleadult51years	ENCSR846ZBX
ENCFF784DSJ	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor2days	ENCSR158XTU
ENCFF592ALR	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor2days	ENCSR158XTU
ENCFF739KYO	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor45days	ENCSR939WVU
ENCFF372HEU	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor45days	ENCSR939WVU
ENCFF305PRP	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor5days	ENCSR649RCV
ENCFF607XLB	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor5days	ENCSR649RCV
ENCFF468QNB	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalcium	ENCSR677MJF
ENCFF764CQI	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalcium	ENCSR677MJF
ENCFF377DAO	transversecolonmaleadult37years	ENCSR668VCT
ENCFF711SUI	adrenalglandmaleadult37years	ENCSR548KIL
ENCFF374OSU	adrenalglandfemaleadult51years	ENCSR414DVK
ENCFF086TID	gastrocnemiusmedialisfemaleadult53years	ENCSR689SDA
ENCFF846JID	esophagussquamousepitheliumfemaleadult51years	ENCSR096BPX
ENCFF388DNI	bodyofpancreasfemaleadult53years	ENCSR515CDW
ENCFF692DLP	sigmoidcolonfemaleadult53years	ENCSR846VLJ
ENCFF585YAB	breastepitheliumfemaleadult53years	ENCSR654UYP
ENCFF906UQF	heartleftventriclefemaleadult51years	ENCSR117PYB
ENCFF782KTJ	Peyerspatchfemaleadult53years	ENCSR017RQC
ENCFF469OER	rightatriumauricularregionfemaleadult51years	ENCSR062SVK
ENCFF765DRX	gastroesophagealsphincterfemaleadult53years	ENCSR670REK
ENCFF069SZE	stomachfemaleadult53years	ENCSR337UIU
ENCFF482HAC	sigmoidcolonmaleadult37years	ENCSR548QCP
ENCFF780JBA	ovaryfemaleadult53years	ENCSR490MSG
ENCFF845HFA	transversecolonfemaleadult53years	ENCSR404LLJ
ENCFF277DNH	tibialnervefemaleadult51years	ENCSR831KAH
ENCFF608BWH	thyroidglandfemaleadult51years	ENCSR201FIW
ENCFF829XME	bodyofpancreasmaleadult54years	ENCSR765MXG
