bam_accession	biosample	experiment_accession
ENCFF967NGX	embryonicfacialprominenceembryo53daysandembryo58days	ENCSR435NHO
ENCFF603DLI	embryonicfacialprominenceembryo53daysandembryo58days	ENCSR435NHO
ENCFF111ABS	heartembryo59daysandfemaleembryo76days	ENCSR664PKM
ENCFF651CGY	heartembryo59daysandfemaleembryo76days	ENCSR664PKM
ENCFF615YBI	LoVo	ENCSR503BEM
ENCFF478GDA	LoVo	ENCSR503BEM
ENCFF072NNA	bodyofpancreasmaleadult37years	ENCSR539WBA
ENCFF495OFD	CD4positivealphabetaTcellmaleadult21years	ENCSR683QJJ
ENCFF521LXH	naturalkillercellmaleadult21years	ENCSR704HNG
ENCFF353HRL	isletprecursorcell	ENCSR224FOA
ENCFF088HYN	heartfemaleembryo116daysandfemaleembryo98days	ENCSR749BWV
ENCFF379QIL	heartfemaleembryo116daysandfemaleembryo98days	ENCSR749BWV
ENCFF578HKK	CD14positivemonocytemaleadult21years	ENCSR452DCM
ENCFF721AAE	CD1cpositivemyeloiddendriticcell	ENCSR373BIX
ENCFF611TSQ	CD1cpositivemyeloiddendriticcell	ENCSR373BIX
ENCFF035TSA	GM23338originatedfromGM23248	ENCSR004SUL
ENCFF006CKP	GM23338originatedfromGM23248	ENCSR004SUL
ENCFF140CXP	GM23248	ENCSR217TAW
ENCFF570PSM	GM23248	ENCSR217TAW
ENCFF115UEY	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for4dayskitligandfor4dayshydrocortisonesuccinatefor4dayserythropoietinfor4days	ENCSR148VUP
ENCFF983QHP	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for4dayskitligandfor4dayshydrocortisonesuccinatefor4dayserythropoietinfor4days	ENCSR148VUP
ENCFF207XKR	tonguefemaleembryo59daysandfemaleembryo76days	ENCSR759UNY
ENCFF030RLN	tonguefemaleembryo59daysandfemaleembryo76days	ENCSR759UNY
ENCFF327EAE	MM1S	ENCSR458LIB
ENCFF634JKR	NCIH226	ENCSR265TEK
ENCFF041JRP	NCIH226	ENCSR265TEK
ENCFF657IQL	T47D	ENCSR000EQB
ENCFF994GVV	kidneytubulecellfemaleadult80yearstreatedwith5mcMcisplatin	ENCSR257CIZ
ENCFF274ASG	Thelper2cell	ENCSR000EQG
ENCFF900FVY	SJCRH30	ENCSR000FFJ
ENCFF591XQT	lungembryo80daysandmaleembryo76days	ENCSR582IPV
ENCFF595DTJ	lungembryo80daysandmaleembryo76days	ENCSR582IPV
ENCFF526JXS	adipocyte	ENCSR405TXU
ENCFF892FYI	adipocyte	ENCSR405TXU
ENCFF240HYM	ponsmaleadult78years	ENCSR829MXU
ENCFF496UBY	occipitallobemaleadult84years	ENCSR859CZM
ENCFF533BQX	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for17dayskitligandfor17dayshydrocortisonesuccinatefor17dayserythropoietinfor17days	ENCSR362JSZ
ENCFF839WIB	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for17dayskitligandfor17dayshydrocortisonesuccinatefor17dayserythropoietinfor17days	ENCSR362JSZ
ENCFF003YHO	kidneyembryo80days	ENCSR066WZJ
ENCFF451MCK	placentafemaleembryo101daysandmaleembryo105days	ENCSR575VMI
ENCFF915YHI	placentafemaleembryo101daysandmaleembryo105days	ENCSR575VMI
ENCFF357GRZ	HT1080	ENCSR000FDI
ENCFF997JAV	HT1080	ENCSR000FDI
ENCFF797FCA	lowerlegskinmaleadult37years	ENCSR361DND
ENCFF323MYG	spinalcordfemaleembryo59daysandmaleembryo72days	ENCSR910OQF
ENCFF421KIE	spinalcordfemaleembryo59daysandmaleembryo72days	ENCSR910OQF
ENCFF891ESL	kidneyglomerularepithelialcellmaleadult43yearsandmaleadult62years	ENCSR136KEL
ENCFF434WFE	kidneyglomerularepithelialcellmaleadult43yearsandmaleadult62years	ENCSR136KEL
ENCFF968HSC	L1S8R	ENCSR746ZPP
ENCFF242NOS	L1S8R	ENCSR746ZPP
ENCFF901FRT	gastrocnemiusmedialisfemaleadult51years	ENCSR856XLJ
ENCFF611OLU	inferiorparietalcortexmaleadult84years	ENCSR986YWZ
ENCFF417IQN	mesenchymalstemcelloriginatedfromH1	ENCSR731QLJ
ENCFF683DNG	rightarmbonemaleembryo81days	ENCSR274SDO
ENCFF740AHB	placentaembryo53days	ENCSR499IFY
ENCFF808OXB	placentaembryo53days	ENCSR499IFY
ENCFF016XZZ	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for8dayskitligandfor8dayshydrocortisonesuccinatefor8dayserythropoietinfor8days	ENCSR845CFB
ENCFF884HGF	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for8dayskitligandfor8dayshydrocortisonesuccinatefor8dayserythropoietinfor8days	ENCSR845CFB
ENCFF800QVD	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for8dayskitligandfor8dayshydrocortisonesuccinatefor8dayserythropoietinfor8days	ENCSR845CFB
ENCFF578VPB	tibialnervefemaleadult51years	ENCSR401ESD
ENCFF185OHE	superiortemporalgyrusmaleadult84years	ENCSR382JUJ
ENCFF205JXZ	leftarmbonemaleembryo81days	ENCSR976XOY
ENCFF685OUP	esophagusmuscularismucosamaleadult37years	ENCSR944JCE
ENCFF445FCV	glomerularvisceralepithelialcellchild3years	ENCSR785BDQ
ENCFF721BNJ	glomerularvisceralepithelialcellchild3years	ENCSR785BDQ
ENCFF895NHV	gastrocnemiusmedialismaleadult37years	ENCSR791BHE
ENCFF193FUQ	liverembryo59daysandembryo80days	ENCSR158YXM
ENCFF898SYA	liverembryo59daysandembryo80days	ENCSR158YXM
ENCFF858KXH	rightlegbonemaleembryo81days	ENCSR449HOQ
ENCFF905EUP	globuspallidusmaleadult78yearsandmaleadult84years	ENCSR771DAX
ENCFF692AWQ	globuspallidusmaleadult78yearsandmaleadult84years	ENCSR771DAX
ENCFF986NWU	hematopoieticmultipotentprogenitorcelltreatedwitherythropoietinfor20dayshydrocortisonesuccinatefor20dayskitligandfor20daysinterleukin3for20days	ENCSR115YPI
ENCFF897FXJ	femurfemaleembryo98days	ENCSR805XIF
ENCFF156WWP	ascendingaortafemaleadult53years	ENCSR968TPO
ENCFF624EVW	ACHN	ENCSR257BGZ
ENCFF303ZAZ	ACHN	ENCSR257BGZ
ENCFF129DLY	psoasmusclemalechild3years	ENCSR426TPQ
ENCFF961UNE	adrenalglandfemaleadult53years	ENCSR597NVK
ENCFF385CDT	transversecolonmaleadult54years	ENCSR340MRJ
ENCFF844PHT	placentafemaleembryo113days	ENCSR035QHH
ENCFF085JAQ	MCF10Atreatedwith1mcMtamoxifenfor6hours	ENCSR385SZQ
ENCFF647DDQ	adrenalglandfemaleadult51years	ENCSR259GYP
ENCFF722VFZ	stomachmaleembryo58daysandmaleembryo76days	ENCSR095GWE
ENCFF279KHO	stomachmaleembryo58daysandmaleembryo76days	ENCSR095GWE
ENCFF355YHP	esophagussquamousepitheliummaleadult37years	ENCSR783OCW
ENCFF752CGA	heartrightventriclefemaleembryo101daysandfemaleembryo103days	ENCSR746RDJ
ENCFF747XFS	heartrightventriclefemaleembryo101daysandfemaleembryo103days	ENCSR746RDJ
ENCFF543WBR	Thelper2cellmaleadult33years	ENCSR000EQI
ENCFF140NHL	SJSA1	ENCSR620WAR
ENCFF542YBQ	SJSA1	ENCSR620WAR
ENCFF955BXM	HCEC1CT	ENCSR038XTK
ENCFF992TBW	HCEC1CT	ENCSR038XTK
ENCFF741YHT	G401	ENCSR269SIA
ENCFF075WDX	G401	ENCSR269SIA
ENCFF246WMU	MCF10Atreatedwith1mcMtamoxifenfor24hours	ENCSR752EPH
ENCFF493VNF	leftkidneyfemaleembryo59daysandmaleembryo91days	ENCSR097BWW
ENCFF925ZGP	leftkidneyfemaleembryo59daysandmaleembryo91days	ENCSR097BWW
ENCFF569WAJ	fibroblastofskinofbackmaleembryo97days	ENCSR184LMY
ENCFF657WKB	ovaryfemaleadult53years	ENCSR930PDT
ENCFF107HZD	PC9	ENCSR940NLN
ENCFF993QPB	PC9	ENCSR940NLN
ENCFF084RXG	kidneyfemaleembryo76daysandmaleembryo76days	ENCSR873ANE
ENCFF884TCQ	kidneyfemaleembryo76daysandmaleembryo76days	ENCSR873ANE
ENCFF221CNW	leftlegbonemaleembryo81days	ENCSR431UEM
ENCFF072KAW	heartmaleembryo72daysandmaleembryo76days	ENCSR705CNJ
ENCFF332GEX	heartmaleembryo72daysandmaleembryo76days	ENCSR705CNJ
ENCFF180PCI	HeLaS3	ENCSR959ZXU
ENCFF912JKA	HeLaS3	ENCSR959ZXU
ENCFF262VXK	MCF10A	ENCSR789VGQ
ENCFF761VCZ	hepatocyteoriginatedfromH9	ENCSR364MFN
ENCFF476MMK	hepatocyteoriginatedfromH9	ENCSR364MFN
ENCFF755YFE	Thelper17cell	ENCSR000EQF
ENCFF157EBV	coronaryarteryfemaleadult51years	ENCSR999TSD
ENCFF509LUG	fibroblastofskinofabdomenmaleembryo97days	ENCSR622TWS
ENCFF467HEJ	kidneytubulecellfemaleadult80yearsandmaleadult62years	ENCSR175IWT
ENCFF272PSA	kidneytubulecellfemaleadult80yearsandmaleadult62years	ENCSR175IWT
ENCFF071FEQ	breastepitheliummaleadult54years	ENCSR788IZL
ENCFF191MRJ	gastrocnemiusmedialisfemaleadult53years	ENCSR686WJL
ENCFF515DYE	lungmaleembryo54daysandmaleembryo58days	ENCSR627NIF
