bam_accession	fragment_length	biosample	experiment_accession
ENCFF303CIW	36	retinalpigmentepithelialcell	ENCSR000EON
ENCFF880FQL	36	retinalpigmentepithelialcell	ENCSR000EON
ENCFF174ICH	36	Bcellfemaleadult43years	ENCSR000EMJ
ENCFF210XND	36	Bcellfemaleadult43years	ENCSR000EMJ
ENCFF137FRJ	36	muscleofbackmaleembryo127days	ENCSR786FWF
ENCFF143WEU	36	Tcellmaleadult21yearstreatedwith75mcgkgGCSFfor4days	ENCSR414IHC
ENCFF791NEI	36	muscleofarmfemaleembryo120days	ENCSR357PMV
ENCFF168SXE	36	BJ	ENCSR000EME
ENCFF744BIP	36	BJ	ENCSR000EME
ENCFF587JCC	36	cardiovascularprogenitorcelloriginatedfromH7treatedwith5ngmLFibroblastgrowthfactor2for5days10ngmLBonemorphogeneticprotein4for5days6ngmLActivinAfor5days	ENCSR000EMW
ENCFF997SPC	36	cardiovascularprogenitorcelloriginatedfromH7treatedwith5ngmLFibroblastgrowthfactor2for5days10ngmLBonemorphogeneticprotein4for5days6ngmLActivinAfor5days	ENCSR000EMW
ENCFF990BOK	36	cardiacmusclecell	ENCSR000ENJ
ENCFF206IPU	36	cardiacmusclecell	ENCSR000ENJ
ENCFF342FSA	36	largeintestinefemaleembryo91days	ENCSR214QEO
ENCFF410BDB	36	rightkidneymaleembryo115days	ENCSR990XXC
ENCFF892PLU	36	kidneyfemaleembryo85days	ENCSR437KLY
ENCFF214ZTB	20	LNCaPcloneFGCtreatedwith1nM17betahydroxy17methylestra4911trien3onefor12hours	ENCSR000EKU
ENCFF155AZA	36	muscleofbackmaleembryo108days	ENCSR476SDZ
ENCFF463ZMD	36	epithelialcellofesophagus	ENCSR000ENN
ENCFF181AGA	36	epithelialcellofesophagus	ENCSR000ENN
ENCFF229CKY	36	renalcortexinterstitiummaleembryo91days	ENCSR254AGA
ENCFF450FXC	36	heartmaleembryo96days	ENCSR536NGW
ENCFF967YWH	36	rightrenalcortexinterstitiummaleembryo120days	ENCSR887BNC
ENCFF260YGW	36	lungembryo101days	ENCSR986XLW
ENCFF996VPC	36	mammaryepithelialcellfemale	ENCSR000ENV
ENCFF601FCG	36	mammaryepithelialcellfemale	ENCSR000ENV
ENCFF685GEJ	36	heartmaleembryo105days	ENCSR320PGJ
ENCFF452SDF	36	largeintestinemaleembryo91days	ENCSR762FCX
ENCFF437UDA	36	Thelper1cellmaleadult33years	ENCSR000EQE
ENCFF765IRM	36	Thelper1cellmaleadult33years	ENCSR000EQE
ENCFF234FKG	36	heartmaleembryo110days	ENCSR311LLZ
ENCFF188SZW	36	nonpigmentedciliaryepithelialcell	ENCSR000EOF
ENCFF644BXG	36	nonpigmentedciliaryepithelialcell	ENCSR000EOF
ENCFF503TCI	36	bronchialepithelialcellfemaletreatedwith6mcMretinoicacidfor48hours	ENCSR000EPN
ENCFF936TMW	36	bronchialepithelialcellfemaletreatedwith6mcMretinoicacidfor48hours	ENCSR000EPN
ENCFF143LDJ	36	Ishikawatreatedwith600nMafimoxifenefor30minutes	ENCSR000EKL
ENCFF758IXK	36	brainfemaleembryo85days	ENCSR026EOM
ENCFF701NOD	36	spleenembryo112days	ENCSR679IFH
ENCFF658DPH	36	foreskinfibroblastmalenewborn	ENCSR000ENQ
ENCFF817PFK	36	foreskinfibroblastmalenewborn	ENCSR000ENQ
ENCFF737VEB	36	thymusfemaleembryo98days	ENCSR541UPY
ENCFF483PTN	36	thymusmaleembryo104days	ENCSR962EAP
ENCFF926WNT	36	leftlungmaleembryo87days	ENCSR441OGH
ENCFF262CTP	36	muscleoflegfemaleembryo115days	ENCSR938UOR
ENCFF879OIL	36	smallintestinemaleembryo105days	ENCSR188JLO
ENCFF822MFO	20	frontalcortexfemaleadult67yearsandfemaleadult80years	ENCSR000EIY
ENCFF149HKU	20	frontalcortexfemaleadult67yearsandfemaleadult80years	ENCSR000EIY
ENCFF369GVY	50	C803	ENCSR000ELI
ENCFF778NUQ	36	T47D	ENCSR000EQB
ENCFF175RBP	36	leftkidneyfemaleembryo87days	ENCSR295DUI
ENCFF491IZI	36	rightkidneyfemaleembryo87days	ENCSR017TFH
ENCFF131CMS	20	GM03348	ENCSR000EIS
ENCFF673CRF	28	Thelper2cell	ENCSR000EQG
ENCFF111FGC	20	psoasmusclemaleadult27yearsandmaleadult35years	ENCSR000ELO
ENCFF191HCE	20	psoasmusclemaleadult27yearsandmaleadult35years	ENCSR000ELO
ENCFF037MBH	36	commonmyeloidprogenitorCD34positivemaleadult	ENCSR271QSV
ENCFF568VTU	36	muscleofarmfemaleembryo85days	ENCSR309YDN
ENCFF972PHY	36	heartfemaleembryo110days	ENCSR189YJQ
ENCFF486AQD	36	heartfemaleembryo105days	ENCSR154ZNQ
ENCFF035VAD	36	muscleofarmmaleembryo127days	ENCSR956NOL
ENCFF013QGL	36	SJCRH30	ENCSR000FFJ
ENCFF261SRQ	36	naivethymusderivedCD4positivealphabetaTcell	ENCSR000EIF
ENCFF424HKL	36	brainfemaleembryo105days	ENCSR820XRX
ENCFF073DVX	36	testismaleembryo	ENCSR278FHC
ENCFF460LGJ	20	GM18507	ENCSR000EJI
ENCFF186IGB	36	CD4positivealphabetaTcellmaleadult37yearstreatedwith75mcgkgGCSFfor4days	ENCSR425MRQ
ENCFF812HCM	36	rightlungfemaleembryo107days	ENCSR859KGQ
ENCFF423VWC	36	commonmyeloidprogenitorCD34positivemaleadult43years	ENCSR735BIM
ENCFF229UTZ	36	mesodermalcelloriginatedfromH7treatedwith5ngmLFibroblastgrowthfactor2for2days6ngmLActivinAfor2days10ngmLBonemorphogeneticprotein4for2days	ENCSR000EMX
ENCFF621MVU	36	HS27A	ENCSR000EMF
ENCFF562RWI	36	largeintestinefemaleembryo103days	ENCSR800QGE
ENCFF720JEK	36	cardiacmyoblastoriginatedfromH7treatedwith10ngmLBonemorphogeneticprotein4for9days5ngmLFibroblastgrowthfactor2for9days6ngmLActivinAfor9days	ENCSR000EMV
ENCFF041LTC	36	CD4positivealphabetaTcellmaleadult21yearstreatedwith75mcgkgGCSFfor4days	ENCSR569ATD
ENCFF889WZF	20	osteoblast	ENCSR000ELJ
ENCFF181BXE	36	MCF7geneticallymodifiedusingRNAi	ENCSR000EKW
ENCFF235BPV	36	rightkidneymaleembryo96days	ENCSR670ZSA
ENCFF724ZYK	36	muscleofarmmaleembryo96days	ENCSR303YII
ENCFF259TWS	36	rightrenalpelvismaleembryo105days	ENCSR986HEN
ENCFF777VGM	36	commonmyeloidprogenitorCD34positivemaleadult37years	ENCSR772HUG
ENCFF611PME	36	leftkidneyfemaleembryo107days	ENCSR953XJU
ENCFF172VLC	36	HuH7	ENCSR000EKD
ENCFF704TDP	36	stomachmaleembryo108days	ENCSR522FGG
ENCFF846AFK	36	MCF7treatedwith10mMlactatefor24hours	ENCSR000EKY
ENCFF658JQA	36	fibroblastofskinofabdomenmaleembryo97days	ENCSR176KYD
ENCFF308VHI	50	K562treatedwith005dimethylsulfoxidefor72hours	ENCSR000EKO
ENCFF586NXB	36	astrocyte	ENCSR000EPM
ENCFF968JMG	36	astrocyte	ENCSR000EPM
ENCFF853ERI	36	smallintestinefemaleembryo120days	ENCSR116WWW
ENCFF779RJW	36	rightlungfemaleembryo98days	ENCSR445XYW
ENCFF228NEM	36	fibroblastofskinofupperbackmaleembryo97days	ENCSR670VQZ
ENCFF244EYZ	36	stomachfemaleembryo96days	ENCSR683YLO
ENCFF171PLZ	36	rightlungmaleembryo87days	ENCSR947VPG
ENCFF193WOS	36	leftlungfemaleembryo91days	ENCSR803VCR
ENCFF093TTF	36	fibroblastofmammaryglandfemale	ENCSR000ENW
ENCFF643SNJ	36	fibroblastofmammaryglandfemale	ENCSR000ENW
ENCFF364SLY	36	smallintestinemaleembryo91days	ENCSR594OWA
ENCFF632QKZ	36	stomachmaleembryo91days	ENCSR172PVJ
ENCFF576ISP	36	thymusmaleembryo108days	ENCSR888UPQ
ENCFF894ZVE	36	naivethymusderivedCD4positivealphabetaTcellfemaleadult35years	ENCSR000EMM
ENCFF226NPJ	36	foreskinfibroblastmalenewborn	ENCSR251UPG
ENCFF348UDP	36	stomachembryo101days	ENCSR941SMM
ENCFF354YDR	36	commonmyeloidprogenitorCD34positivefemale	ENCSR191EII
ENCFF983CEF	36	muscleofbackmaleembryo104days	ENCSR141NSQ
ENCFF034QAX	36	kidneyepithelialcell	ENCSR000EOL
ENCFF342XZT	36	kidneyepithelialcell	ENCSR000EOL
ENCFF940GYF	36	spinalcordmaleembryo105days	ENCSR148MFM
ENCFF383QFY	20	GM12892	ENCSR000EJF
ENCFF929NGG	36	muscleofarmmaleembryo113days	ENCSR270LZE
ENCFF597IYU	36	spinalcordfemaleembryo87days	ENCSR973MKT
ENCFF544XWR	20	AG08396	ENCSR000EIW
ENCFF107ZXF	36	brainfemaleembryo96days	ENCSR156CLC
ENCFF497YUO	36	smallintestinefemaleembryo108days	ENCSR502NDK
ENCFF981HHK	36	fibroblastofpulmonaryartery	ENCSR000EOH
ENCFF033BYV	36	fibroblastofpulmonaryartery	ENCSR000EOH
ENCFF999DLM	36	muscleofarmmaleembryo105days	ENCSR949JYS
ENCFF118JHP	36	naturalkillercellmaleadult37years	ENCSR718AAB
ENCFF067PJM	36	brainembryo112days	ENCSR118WIQ
ENCFF383HBG	36	largeintestinemaleembryo108days	ENCSR857AEB
ENCFF433YCY	36	largeintestinemaleembryo105days	ENCSR531HPD
ENCFF965JWG	36	brainfemaleembryo117days	ENCSR309FOO
ENCFF151QCL	36	CMK	ENCSR000EMN
ENCFF808RDL	36	Ishikawatreatedwith10nM17betaestradiolfor30minutes	ENCSR000EKM
ENCFF167VUF	36	foreskinmelanocytemalenewborn	ENCSR518JGY
ENCFF730FJF	36	hindlimbmusclemaleembryo120days	ENCSR385AMY
ENCFF776CQU	36	lungmaleembryo108days	ENCSR076YBB
ENCFF883JVC	36	Tcellmaleadult21years	ENCSR628IRM
ENCFF157XVX	20	LNCaPcloneFGC	ENCSR000EKT
ENCFF866JEI	36	T47D	ENCSR000ELT
ENCFF187YNG	20	GM19240	ENCSR000EJL
ENCFF965PZQ	50	D341Med	ENCSR000ELB
ENCFF341YKJ	36	Tcellmaleadult36years	ENCSR627UDJ
ENCFF279SDX	20	GM12891	ENCSR000EJE
ENCFF926JRS	36	heartembryo101days	ENCSR366EGE
ENCFF383AUD	36	hematopoieticmultipotentprogenitorcell	ENCSR000EMK
ENCFF676GGR	36	myotubeoriginatedfromskeletalmusclemyoblast	ENCSR000EOP
ENCFF173TWL	36	myotubeoriginatedfromskeletalmusclemyoblast	ENCSR000EOP
ENCFF868DEY	36	fibroblastofperidontalligamentmale	ENCSR000EOI
ENCFF330DYP	36	fibroblastofperidontalligamentmale	ENCSR000EOI
ENCFF697TQJ	36	fibroblastofskinofleftquadricepsmaleembryo97days	ENCSR371KRY
ENCFF153KUO	36	muscleofbackmaleembryo96days	ENCSR438TWI
ENCFF602VFQ	36	rightlungmaleembryo105days	ENCSR846CTA
ENCFF825XSS	36	JurkatcloneE61	ENCSR000EOS
ENCFF415QST	36	JurkatcloneE61	ENCSR000EOS
ENCFF514GTX	36	stomachfemaleembryo121days	ENCSR282QFE
ENCFF097TAY	20	MCF7originatedfromMCF7	ENCSR000EKZ
ENCFF125VOT	36	leftlungfemaleembryo105days	ENCSR468OVW
