bam_accession	bam_accession_control	target	biosample	experiment_accession
ENCFF003FHH	ENCFF580IMZ	H3K27ac-human	foreskinkeratinocytemalenewborn24days	ENCSR736ZEG
ENCFF234PWP	ENCFF580IMZ	H3K27ac-human	foreskinkeratinocytemalenewborn24days	ENCSR736ZEG
ENCFF300RSF	ENCFF270SFZ	H3K27ac-human	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor55days	ENCSR637ISS
ENCFF631ADK	ENCFF270SFZ	H3K27ac-human	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor55days	ENCSR637ISS
ENCFF708CBX	ENCFF939LTT	H3K27ac-human	RWPE1	ENCSR203KEU
ENCFF611ZFQ	ENCFF939LTT	H3K27ac-human	RWPE1	ENCSR203KEU
ENCFF380OTV	ENCFF959FMO	H3K27ac-human	SKNSH	ENCSR564IGJ
ENCFF775DHW	ENCFF959FMO	H3K27ac-human	SKNSH	ENCSR564IGJ
ENCFF017WUP	ENCFF687LIL	H3K27ac-human	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR905TYC
ENCFF751YAL	ENCFF687LIL	H3K27ac-human	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR905TYC
ENCFF458HWQ	ENCFF567SBX	H3K27ac-human	VCaP	ENCSR597ULV
ENCFF237YEX	ENCFF567SBX	H3K27ac-human	VCaP	ENCSR597ULV
ENCFF403VXK	ENCFF754UFV	H3K27ac-human	GM23338originatedfromGM23248	ENCSR729ENO
ENCFF259MDS	ENCFF754UFV	H3K27ac-human	GM23338originatedfromGM23248	ENCSR729ENO
ENCFF913EZV	ENCFF980IJT	H3K27ac-human	C42B	ENCSR279KIX
ENCFF705ZOY	ENCFF980IJT	H3K27ac-human	C42B	ENCSR279KIX
ENCFF025ZEN	ENCFF769UET	H3K27ac-human	22Rv1	ENCSR391NPE
ENCFF421QFK	ENCFF769UET	H3K27ac-human	22Rv1	ENCSR391NPE
ENCFF085FAH	ENCFF178GZR	H3K27ac-human	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor25days	ENCSR709ABP
ENCFF776HMQ	ENCFF178GZR	H3K27ac-human	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor25days	ENCSR709ABP
ENCFF175ANQ	ENCFF213AZI	H3K27ac-human	epithelialcellofprostatemale	ENCSR910PDW
ENCFF382XYO	ENCFF213AZI	H3K27ac-human	epithelialcellofprostatemale	ENCSR910PDW
ENCFF728TTH	ENCFF483ELD	H3K27ac-human	22Rv1treatedwith10nM17betahydroxy5alphaandrostan3onefor4hours	ENCSR777CQW
ENCFF131ZIS	ENCFF483ELD	H3K27ac-human	22Rv1treatedwith10nM17betahydroxy5alphaandrostan3onefor4hours	ENCSR777CQW
ENCFF245ORL	ENCFF169DGZ	H3K27ac-human	RWPE2	ENCSR987PNT
ENCFF681ELB	ENCFF169DGZ	H3K27ac-human	RWPE2	ENCSR987PNT
