bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF577PRS	185	ENCFF239KPF	150	H3K27ac-human	effectormemoryCD4positivealphabetaTcell	ENCSR892HPQ
ENCFF914QOY	260	ENCFF115XCR	235	H3K27ac-human	CD4positivealphabetamemoryTcell	ENCSR314BEX
ENCFF224RMQ	200	ENCFF839GWH	140	H3K27ac-human	MCF7	ENCSR000EWR
ENCFF181AML	185	ENCFF839GWH	140	H3K27ac-human	MCF7	ENCSR000EWR
ENCFF593DDP	175	ENCFF409SLI	165	H3K27ac-human	largeintestinemaleembryo108days	ENCSR659RHV
ENCFF120ZSN	120	ENCFF078ACZ	125	H3K27ac-human	adrenalglandfemaleadult30years	ENCSR642HHF
ENCFF466VBP	155	ENCFF384HEG	155	H3K27ac-human	smallintestinemaleembryo108days	ENCSR892XFG
ENCFF684FZC	160	ENCFF968JGA	95	H3K27ac-human	lungmalechild3years	ENCSR550WUX
ENCFF797ECK	240	ENCFF256TIW	195	H3K27ac-human	iPS20b	ENCSR729GQT
ENCFF749JAV	200	ENCFF623WHF	175	H3K27ac-human	Thelper17celltreatedwithphorbol13acetate12myristateionomycin	ENCSR041UZZ
ENCFF855EVO	265	ENCFF165EHS	210	H3K27ac-human	CD4positivealphabetaTcelltreatedwithphorbol13acetate12myristateionomycin	ENCSR138DOM
ENCFF680VNR	205	ENCFF945TJC	170	H3K27ac-human	CD14positivemonocytemaleadult21years	ENCSR012PII
ENCFF739WVP	190	ENCFF450SEM	195	H3K27ac-human	muscleoftrunkfemaleembryo115days	ENCSR775FTU
ENCFF367SAH	230	ENCFF492OBI	90	H3K27ac-human	uterusfemaleadult51years	ENCSR189JIH
ENCFF727EYK	200	ENCFF956VTO	100	H3K27ac-human	gastroesophagealsphincterfemaleadult53years	ENCSR677LBH
ENCFF939RTX	180	ENCFF962WPS	70	H3K27ac-human	adrenalglandmaleembryo97days	ENCSR847AIA
ENCFF655AIP	205	ENCFF754MHP	240	H3K27ac-human	PC9	ENCSR769FOC
ENCFF299IGN	245	ENCFF754MHP	240	H3K27ac-human	PC9	ENCSR769FOC
ENCFF615PUT	135	ENCFF089AIV	90	H3K27ac-human	mesenchymalstemcelloriginatedfromH1	ENCSR013KEC
ENCFF262VKZ	115	ENCFF089AIV	90	H3K27ac-human	mesenchymalstemcelloriginatedfromH1	ENCSR013KEC
ENCFF025LCL	155	ENCFF993LSH	150	H3K27ac-human	heartrightventriclemaleadult34years	ENCSR928HSI
ENCFF898KBV	190	ENCFF851TTA	190	H3K27ac-human	endodermalcelloriginatedfromHUES64	ENCSR200ETW
ENCFF668YUL	175	ENCFF851TTA	190	H3K27ac-human	endodermalcelloriginatedfromHUES64	ENCSR200ETW
ENCFF082MIE	190	ENCFF170NIZ	110	H3K27ac-human	CD4positivealphabetaTcellmaleadult21years	ENCSR561KOM
ENCFF025FAP	200	ENCFF634UHG	200	H3K27ac-human	gastrocnemiusmedialismaleadult37years	ENCSR801IPH
ENCFF409ZYH	230	ENCFF634UHG	200	H3K27ac-human	gastrocnemiusmedialismaleadult37years	ENCSR801IPH
ENCFF736FZD	180	ENCFF937DTA	145	H3K27ac-human	Tcellmaleadult37years	ENCSR222QLW
ENCFF303TFY	145	ENCFF611WYN	145	H3K27ac-human	esophagusmaleadult34years	ENCSR679OVD
ENCFF713UJI	155	ENCFF622XBJ	100	H3K27ac-human	muscleoflegfemaleembryo110days	ENCSR687ZCM
ENCFF854WUY	235	ENCFF056BZA	245	H3K27ac-human	Karpas422	ENCSR660IQS
ENCFF949LGB	220	ENCFF056BZA	245	H3K27ac-human	Karpas422	ENCSR660IQS
ENCFF529DAA	170	ENCFF237BVB	135	H3K27ac-human	adrenalglandmaleadult34years	ENCSR405ESP
ENCFF449YKU	175	ENCFF534JYG	50	H3K27ac-human	CD8positivealphabetaTcellmaleadult21years	ENCSR007HLH
ENCFF150ZJR	225	ENCFF977CRV	100	H3K27ac-human	commonmyeloidprogenitorCD34positivefemaleadult33years	ENCSR620AZM
ENCFF198DEQ	185	ENCFF072XSV	135	H3K27ac-human	placentafemaleembryo113days	ENCSR498ZRC
ENCFF146UYU	125	ENCFF841PLU	160	H3K27ac-human	IMR90	ENCSR002YRE
ENCFF071VOI	130	ENCFF841PLU	160	H3K27ac-human	IMR90	ENCSR002YRE
ENCFF063RNQ	115	ENCFF870RGK	135	H3K27ac-human	thymusmalechild3years	ENCSR303IKJ
ENCFF879BWC	165	ENCFF829HZY	155	H3K27ac-human	K562	ENCSR000AKP
ENCFF301TVL	160	ENCFF829HZY	155	H3K27ac-human	K562	ENCSR000AKP
ENCFF915JKN	130	ENCFF034DXU	125	H3K27ac-human	smallintestinemalechild3years	ENCSR454VRA
ENCFF201GMS	245	ENCFF089EGV	245	H3K27ac-human	esophagusmuscularismucosamaleadult54years	ENCSR705BTW
ENCFF814NJK	220	ENCFF992DZR	210	H3K27ac-human	bodyofpancreasfemaleadult51years	ENCSR432DPY
ENCFF062ZGG	135	ENCFF941BBF	145	H3K27ac-human	spleenfemaleadult30years	ENCSR086XCT
ENCFF422DFO	195	ENCFF782SLJ	220	H3K27ac-human	thyroidglandmaleadult54years	ENCSR203KCB
ENCFF805QHZ	240	ENCFF782SLJ	220	H3K27ac-human	thyroidglandmaleadult54years	ENCSR203KCB
ENCFF218BUW	195	ENCFF432JPE	155	H3K27ac-human	HeLaS3	ENCSR000AOC
ENCFF113QJM	235	ENCFF432JPE	155	H3K27ac-human	HeLaS3	ENCSR000AOC
ENCFF851FQD	225	ENCFF019QSC	205	H3K27ac-human	ovaryfemaleadult51years	ENCSR242AHB
ENCFF540ZWQ	135	ENCFF894ZBD	135	H3K27ac-human	lungfemaleadult30years	ENCSR540ADS
ENCFF946NGS	240	ENCFF901HZC	225	H3K27ac-human	thoracicaortamaleadult54years	ENCSR318HUC
ENCFF140QKE	235	ENCFF259JSG	90	H3K27ac-human	tibialarterymaleadult37years	ENCSR891BTJ
ENCFF692SRU	235	ENCFF579ITQ	235	H3K27ac-human	adrenalglandmaleadult37years	ENCSR094VJC
ENCFF081CDJ	180	ENCFF904DBV	135	H3K27ac-human	stomachfemaleembryo96days	ENCSR743DDX
ENCFF588KSR	240	ENCFF144WYV	300	H3K27ac-human	HEK293	ENCSR000FCH
ENCFF016LAV	165	ENCFF144WYV	300	H3K27ac-human	HEK293	ENCSR000FCH
ENCFF516INT	150	ENCFF912RCK	130	H3K27ac-human	pancreasmaleadult34years	ENCSR612BWE
ENCFF439WSM	125	ENCFF487EPL	140	H3K27ac-human	urinarybladdermaleadult34years	ENCSR054BKO
