bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF908YKV	110	ENCFF490MFW	55	CTCF-human	GM12875	ENCSR000DRU
ENCFF517CVH	100	ENCFF490MFW	55	CTCF-human	GM12875	ENCSR000DRU
ENCFF063VYC	140	ENCFF240RBJ	255	FOS-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DKB
ENCFF011KDH	125	ENCFF240RBJ	255	FOS-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DKB
ENCFF046GWZ	105	ENCFF240RBJ	255	FOS-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DKB
ENCFF785BKE	105	ENCFF157YWH	80	ZNF274-human	GM12878	ENCSR000EUK
ENCFF520BHR	160	ENCFF705DPZ	85	NFIC-human	HepG2	ENCSR000BQX
ENCFF016SOS	110	ENCFF705DPZ	85	NFIC-human	HepG2	ENCSR000BQX
ENCFF637TAF	150	ENCFF579QDW	130	SREBF2-human	GM12878	ENCSR000DYT
ENCFF154GZC	165	ENCFF579QDW	130	SREBF2-human	GM12878	ENCSR000DYT
ENCFF351CVI	110	ENCFF946WAV	120	CTCF-human	MCF7originatedfromMCF7	ENCSR000DML
ENCFF313OIM	105	ENCFF946WAV	120	CTCF-human	MCF7originatedfromMCF7	ENCSR000DML
ENCFF090GRO	85	ENCFF949IKS	75	CTCF-human	HeLaS3	ENCSR000DLO
ENCFF677UDU	115	ENCFF144BVJ	120	NRF1-human	SKNSH	ENCSR000EHZ
ENCFF854WDA	110	ENCFF144BVJ	120	NRF1-human	SKNSH	ENCSR000EHZ
ENCFF820GHI	95	ENCFF777NWU	80	MAX-human	A549	ENCSR000DYG
ENCFF777DLI	130	ENCFF948LKH	135	POU5F1-human	H1	ENCSR000BMU
ENCFF488NSO	140	ENCFF948LKH	135	POU5F1-human	H1	ENCSR000BMU
ENCFF444OMB	105	ENCFF023NGN	115	RCOR1-human	K562	ENCSR000EGG
ENCFF523QGZ	100	ENCFF023NGN	115	RCOR1-human	K562	ENCSR000EGG
ENCFF339BJP	105	ENCFF942FFX	85	STAT1-human	K562treatedwithInterferongammafor30minutes	ENCSR000EHK
ENCFF470IST	100	ENCFF942FFX	85	STAT1-human	K562treatedwithInterferongammafor30minutes	ENCSR000EHK
